cd_mun,nm_mun,qtd_criancas,qtd_criancas_pct,qtd_adolescentes,qtd_adolescentes_pct,qtd_idosos,qtd_idosos_pct,renda_media_responsavel
2913507,Iguaí,2769,0.12884463263691778,3386,0.15755432506630682,3988,0.18556605090503,1319.9
2913606,Ilhéus,22383,0.12529037386159453,25247,0.14132180980582035,29369,0.16439498681772638,2317.01
2913705,Inhambupe,4536,0.1342408996744599,5519,0.16333234684817993,4971,0.14711453092630955,1272.69
2913804,Ipecaetá,1700,0.12400612736158728,2089,0.1523816470931505,2356,0.1718579035669998,1048.96
2913903,Ipiaú,5289,0.12993170539969537,5888,0.14464698078907287,7454,0.1831179678671449,1750.97
2914000,Ipirá,7186,0.12634503129615304,8731,0.1535093888459104,10087,0.17735072789928968,1278.81
2914109,Ipupiara,1198,0.12058379466532461,1374,0.13829894313034727,1976,0.19889280322093608,1385.45
2914208,Irajuba,755,0.12375020488444517,996,0.16325192591378462,1120,0.18357646287493853,1337.68
2914307,Iramaia,1281,0.119140625,1677,0.15597098214285715,1840,0.17113095238095238,1165.1
2914406,Iraquara,3446,0.14431090079149042,3936,0.16483102307466813,3383,0.14167259935508186,1274.95
2914505,Irará,3520,0.12552152052205542,4291,0.15301501265913062,4743,0.16913311699889455,1328.66
2914604,Irecê,10522,0.14122163018239897,11554,0.15507267773497793,8852,0.11880762881340008,2087.02
2914653,Itabela,4515,0.16030534351145037,4828,0.17141842712586544,3606,0.12803124445233446,1584.61
2914703,Itaberaba,8715,0.1339265133004472,9986,0.1534584236165537,9644,0.1482027876384983,1666.31
2914802,Itabuna,21801,0.11676521627353943,25031,0.1340649570452257,32673,0.17499517963879427,2200.5
2914901,Itacaré,4386,0.15831648859370487,4645,0.16766531908749638,3094,0.11168062373664453,1755.5
2915007,Itaeté,1961,0.14556116389548693,2277,0.1690172209026128,2183,0.16203978622327792,1174.8
2915106,Itagi,1810,0.13113091356951387,2162,0.15663261609794973,2542,0.18416286314569297,1130.38
2915205,Itagibá,2079,0.13579359895493143,2251,0.14702808621815808,2767,0.18073154800783803,1638.02
